NAMESPACE           	NAME                     	REVISION	SUSPENDED	READY  	MESSAGE                                                                                                                                                                                                        
authentik           	authentik                	27.8.2  	False    	False  	Helm install failed for release authentik/authentik with chart authentik@27.8.2: execution error at (authentik/templates/common.yaml:97:3): VolSync - Expected non-empty [type]                               	
blocky              	blocky                   	16.6.2  	False    	Unknown	Running 'upgrade' action with timeout of 20m0s                                                                                                                                                                	
cert-manager        	cert-manager             	6.2.2   	False    	True   	Helm upgrade succeeded for release cert-manager/cert-manager.v2 with chart cert-manager@6.2.2                                                                                                                 	
cloudnative-pg      	cloudnative-pg           	8.2.0   	False    	True   	Helm upgrade succeeded for release cloudnative-pg/cloudnative-pg.v2 with chart cloudnative-pg@8.2.0                                                                                                           	
clusterissuer       	clusterissuer            	9.2.3   	False    	True   	Helm upgrade succeeded for release clusterissuer/clusterissuer.v2 with chart clusterissuer@9.2.3                                                                                                              	
democratic-csi      	heimdall-iscsi           	0.14.6  	False    	True   	Helm install succeeded for release democratic-csi/heimdall-iscsi.v1 with chart democratic-csi@0.14.6                                                                                                          	
democratic-csi      	heimdall-nfs             	0.14.6  	False    	True   	Helm install succeeded for release democratic-csi/heimdall-nfs.v1 with chart democratic-csi@0.14.6                                                                                                            	
flaresolverr        	flaresolverr             	15.2.1  	False    	False  	Helm install failed for release flaresolverr/flaresolverr with chart flaresolverr@15.2.1: execution error at (flaresolverr/templates/common.yaml:1:3): VolSync - Expected non-empty [type]                    	
h5ai                	h5ai                     	7.2.1   	False    	False  	Helm install failed for release h5ai/h5ai with chart h5ai@7.2.1: execution error at (h5ai/templates/common.yaml:2:3): VolSync - Expected non-empty [type]                                                     	
kms                 	kms                      	20.2.1  	False    	True   	Helm install succeeded for release kms/kms.v1 with chart kms@20.2.1                                                                                                                                           	
kube-system         	cilium                   	1.16.3  	False    	Unknown	Running 'upgrade' action with timeout of 20m0s                                                                                                                                                                	
kube-system         	descheduler              	0.1.0   	False    	True   	Helm upgrade succeeded for release kube-system/descheduler.v2 with chart descheduler@0.1.0                                                                                                                    	
kube-system         	kubelet-csr-approver     	1.1.2   	False    	True   	Helm upgrade succeeded for release kube-system/kubelet-csr-approver.v2 with chart kubelet-csr-approver@1.1.2                                                                                                  	
kube-system         	metrics-server           	0.1.0   	False    	True   	Helm upgrade succeeded for release kube-system/metrics-server.v2 with chart metrics-server@0.1.0                                                                                                              	
kube-system         	node-feature-discovery   	0.1.0   	False    	True   	Helm upgrade succeeded for release kube-system/node-feature-discovery.v2 with chart node-feature-discovery@0.1.0                                                                                              	
kubernetes-dashboard	kubernetes-dashboard     	1.10.0  	False    	True   	Helm upgrade succeeded for release kubernetes-dashboard/kubernetes-dashboard.v2 with chart kubernetes-dashboard@1.10.0                                                                                        	
kyverno             	kyverno                  	3.3.2   	False    	True   	Helm upgrade succeeded for release kyverno/kyverno.v2 with chart kyverno@3.3.2                                                                                                                                	
longhorn-system     	longhorn                 	1.7.2   	False    	True   	Helm upgrade succeeded for release longhorn-system/longhorn.v2 with chart longhorn@1.7.2                                                                                                                      	
media               	calibre                  	16.10.0 	False    	False  	Helm install failed for release media/calibre with chart calibre@16.10.0: execution error at (calibre/templates/common.yaml:3:3): VolSync - Expected non-empty [type]                                         	
media               	jellyfin                 	20.3.2  	False    	False  	Helm install failed for release media/jellyfin with chart jellyfin@20.3.2: execution error at (jellyfin/templates/common.yaml:8:4): VolSync - Expected non-empty [type]                                       	
media               	plex                     	19.3.3  	False    	False  	Helm install failed for release media/plex with chart plex@19.3.3: execution error at (plex/templates/common.yaml:65:4): VolSync - Expected non-empty [type]                                                  	
media               	prowlarr                 	18.9.0  	False    	False  	Helm install failed for release media/prowlarr with chart prowlarr@18.9.0: execution error at (prowlarr/templates/common.yaml:1:3): VolSync - Expected non-empty [type]                                       	
media               	radarr                   	23.11.0 	False    	False  	Helm install failed for release media/radarr with chart radarr@23.11.0: execution error at (radarr/templates/common.yaml:1:3): VolSync - Expected non-empty [type]                                            	
media               	readarr                  	24.1.1  	False    	False  	Helm install failed for release media/readarr with chart readarr@24.1.1: execution error at (readarr/templates/common.yaml:1:3): VolSync - Expected non-empty [type]                                          	
media               	sonarr                   	23.3.0  	False    	False  	Helm install failed for release media/sonarr with chart sonarr@23.3.0: execution error at (sonarr/templates/common.yaml:1:3): VolSync - Expected non-empty [type]                                             	
metallb-config      	metallb-config           	8.2.2   	False    	True   	Helm upgrade succeeded for release metallb-config/metallb-config.v2 with chart metallb-config@8.2.2                                                                                                           	
metallb             	metallb                  	0.14.8  	False    	True   	Helm upgrade succeeded for release metallb/metallb.v2 with chart metallb@0.14.8                                                                                                                               	
nullserv            	nullserv                 	15.2.1  	False    	False  	Helm install failed for release nullserv/nullserv with chart nullserv@15.2.1: execution error at (nullserv/templates/common.yaml:1:3): VolSync - Expected non-empty [type]                                    	
openebs             	openebs                  	4.1.1   	False    	True   	Helm upgrade succeeded for release openebs/openebs.v2 with chart openebs@4.1.1                                                                                                                                	
prometheus-operator 	prometheus-operator      	8.11.0  	False    	True   	Helm upgrade succeeded for release prometheus-operator/prometheus-operator.v2 with chart prometheus-operator@8.11.0                                                                                           	
protonmail-bridge   	protonmail-bridge        	16.3.1  	False    	False  	Helm install failed for release protonmail-bridge/protonmail-bridge with chart protonmail-bridge@16.3.1: execution error at (protonmail-bridge/templates/common.yaml:1:3): VolSync - Expected non-empty [type]	
snapshot-controller 	kubernetes-reflector     	6.2.1   	False    	True   	Helm upgrade succeeded for release snapshot-controller/kubernetes-reflector.v2 with chart kubernetes-reflector@6.2.1                                                                                          	
snapshot-controller 	snapshot-controller      	3.3.1   	False    	True   	Helm upgrade succeeded for release snapshot-controller/snapshot-controller.v2 with chart snapshot-controller@3.3.1                                                                                            	
spegel              	spegel                   	2.0.7   	False    	True   	Helm upgrade succeeded for release spegel/spegel.v2 with chart spegel@2.0.7                                                                                                                                   	
